Legend,Shorthand,Location,Province,Province Code
Private-sector health expenditure by use of funds in millions of current dollars; Northwest Territories; 1975 to 2018,D.2.12.1,expenditure_by_type.csv,Northwest Territories,N.W.T.
Percentage distribution of Private-sector health expenditure by use of funds; Northwest Territories; 1975 to 2018,D.2.12.2,expenditure_by_type.csv,Northwest Territories,N.W.T.
Private-sector per capita health expenditure by use of funds in current dollars; Northwest Territories; 1975 to 2018,D.2.12.3,expenditure_by_type.csv,Northwest Territories,N.W.T.
Private-sector health expenditure by use of funds in millions of current dollars; Alberta; 1975 to 2018,D.2.9.1,expenditure_by_type.csv,Alberta,Alta.
Percentage distribution of Private-sector health expenditure by use of funds; Alberta; 1975 to 2018,D.2.9.2,expenditure_by_type.csv,Alberta,Alta.
Private-sector per capita health expenditure by use of funds in current dollars; Alberta; 1975 to 2018,D.2.9.3,expenditure_by_type.csv,Alberta,Alta.
Private-sector health expenditure by use of funds in millions of current dollars; Newfoundland and Labrador; 1975 to 2018,D.2.1.1,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Percentage distribution of Private-sector health expenditure by use of funds; Newfoundland and Labrador; 1975 to 2018,D.2.1.2,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Private-sector per capita health expenditure by use of funds in current dollars; Newfoundland and Labrador; 1975 to 2018,D.2.1.3,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Private-sector health expenditure by use of funds in millions of current dollars; Saskatchewan; 1975 to 2018,D.2.8.1,expenditure_by_type.csv,Saskatchewan,Sask.
Percentage distribution of Private-sector health expenditure by use of funds; Saskatchewan; 1975 to 2018,D.2.8.2,expenditure_by_type.csv,Saskatchewan,Sask.
Private-sector per capita health expenditure by use of funds in current dollars; Saskatchewan; 1975 to 2018,D.2.8.3,expenditure_by_type.csv,Saskatchewan,Sask.
Private-sector health expenditure by use of funds in millions of current dollars; New Brunswick; 1975 to 2018,D.2.4.1,expenditure_by_type.csv,New Brunswick,N.B.
Percentage distribution of Private-sector health expenditure by use of funds; New Brunswick; 1975 to 2018,D.2.4.2,expenditure_by_type.csv,New Brunswick,N.B.
Private-sector per capita health expenditure by use of funds in current dollars; New Brunswick; 1975 to 2018,D.2.4.3,expenditure_by_type.csv,New Brunswick,N.B.
Private-sector health expenditure by use of funds in millions of current dollars; Nunavut; 1975 to 2018,D.2.13.1,expenditure_by_type.csv,Nunavut,Nun.
Percentage distribution of Private-sector health expenditure by use of funds; Nunavut; 1975 to 2018,D.2.13.2,expenditure_by_type.csv,Nunavut,Nun.
Private-sector per capita health expenditure by use of funds in current dollars; Nunavut; 1975 to 2018,D.2.13.3,expenditure_by_type.csv,Nunavut,Nun.
Private-sector health expenditure by use of funds in millions of current dollars; British Columbia; 1975 to 2018,D.2.10.1,expenditure_by_type.csv,British Columbia,B.C.
Percentage distribution of Private-sector health expenditure by use of funds; British Columbia; 1975 to 2018,D.2.10.2,expenditure_by_type.csv,British Columbia,B.C.
Private-sector per capita health expenditure by use of funds in current dollars; British Columbia; 1975 to 2018,D.2.10.3,expenditure_by_type.csv,British Columbia,B.C.
Private-sector health expenditure by use of funds in millions of current dollars; Manitoba; 1975 to 2018,D.2.7.1,expenditure_by_type.csv,Manitoba,Man.
Percentage distribution of Private-sector health expenditure by use of funds; Manitoba; 1975 to 2018,D.2.7.2,expenditure_by_type.csv,Manitoba,Man.
Private-sector per capita health expenditure by use of funds in current dollars; Manitoba; 1975 to 2018,D.2.7.3,expenditure_by_type.csv,Manitoba,Man.
Private-sector health expenditure by use of funds in millions of current dollars; Yukon; 1975 to 2018,D.2.11.1,expenditure_by_type.csv,Yukon,Y.T.
Percentage distribution of Private-sector health expenditure by use of funds;Yukon; 1975 to 2018,D.2.11.2,expenditure_by_type.csv,Yukon,Y.T.
Private-sector per capita health expenditure by use of funds in current dollars; Yukon; 1975 to 2018,D.2.11.3,expenditure_by_type.csv,Yukon,Y.T.
Private-sector health expenditure by use of funds in millions of current dollars; Prince Edward Island; 1975 to 2018,D.2.2.1,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Percentage distribution of Private-sector health expenditure by use of funds; Prince Edward Island; 1975 to 2018,D.2.2.2,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Private-sector per capita health expenditure by use of funds in current dollars; Prince Edward Island; 1975 to 2018,D.2.2.3,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Private-sector health expenditure by use of funds in millions of current dollars; Ontario; 1975 to 2018,D.2.6.1,expenditure_by_type.csv,Ontario,Ont.
Percentage distribution of Private-sector health expenditure by use of funds; Ontario; 1975 to 2018,D.2.6.2,expenditure_by_type.csv,Ontario,Ont.
Private-sector per capita health expenditure by use of funds in current dollars; Ontario; 1975 to 2018,D.2.6.3,expenditure_by_type.csv,Ontario,Ont.
Public-sector health expenditure by use of funds in millions of current dollars; Newfoundland and Labrador; 1975 to 2018,D.3.1.1,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Percentage distribution of Public-sector health expenditure by use of funds; Newfoundland and Labrador; 1975 to 2018,D.3.1.2,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Public-sector per capita health expenditure by use of funds in current dollars; Newfoundland and Labrador; 1975 to 2018,D.3.1.3,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Public-sector health expenditure by use of funds in millions of current dollars; Prince Edward Island; 1975 to 2018,D.3.2.1,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Percentage distribution of Public-sector health expenditure by use of funds; Prince Edward Island; 1975 to 2018,D.3.2.2,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Public-sector per capita health expenditure by use of funds in current dollars; Prince Edward Island; 1975 to 2018,D.3.2.3,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Public-sector health expenditure by use of funds in millions of current dollars; Nova Scotia; 1975 to 2018,D.3.3.1,expenditure_by_type.csv,Nova Scotia,N.S.
Percentage distribution of Public-sector health expenditure by use of funds; Nova Scotia; 1975 to 2018,D.3.3.2,expenditure_by_type.csv,Nova Scotia,N.S.
Public-sector per capita health expenditure by use of funds in current dollars; Nova Scotia; 1975 to 2018,D.3.3.3,expenditure_by_type.csv,Nova Scotia,N.S.
Public-sector health expenditure by use of funds in millions of current dollars; Saskatchewan; 1975 to 2018,D.3.8.1,expenditure_by_type.csv,Saskatchewan,Sask.
Percentage distribution of Public-sector health expenditure by use of funds; Saskatchewan; 1975 to 2018,D.3.8.2,expenditure_by_type.csv,Saskatchewan,Sask.
Public-sector per capita health expenditure by use of funds in current dollars; Saskatchewan; 1975 to 2018,D.3.8.3,expenditure_by_type.csv,Saskatchewan,Sask.
Public-sector health expenditure by use of funds in millions of current dollars; Quebec; 1975 to 2018,D.3.5.1,expenditure_by_type.csv,Quebec,Que.
Percentage distribution of public-sector health expenditure by use of funds; Quebec; 1975 to 2018,D.3.5.2,expenditure_by_type.csv,Quebec,Que.
Public-sector per capita health expenditure by use of funds in current dollars; Quebec; 1975 to 2018,D.3.5.3,expenditure_by_type.csv,Quebec,Que.
Public-sector health expenditure by use of funds in millions of current dollars; Alberta; 1975 to 2018,D.3.9.1,expenditure_by_type.csv,Alberta,Alta.
Percentage distribution of Public-sector health expenditure by use of funds; Alberta; 1975 to 2018,D.3.9.2,expenditure_by_type.csv,Alberta,Alta.
Public-sector per capita health expenditure by use of funds in current dollars; Alberta; 1975 to 2018,D.3.9.3,expenditure_by_type.csv,Alberta,Alta.
Public-sector health expenditure by use of funds in millions of current dollars; Ontario; 1975 to 2018,D.3.6.1,expenditure_by_type.csv,Ontario,Ont.
Percentage distribution of Public-sector health expenditure by use of funds; Ontario; 1975 to 2018,D.3.6.2,expenditure_by_type.csv,Ontario,Ont.
Public-sector per capita health expenditure by use of funds in current dollars; Ontario; 1975 to 2018,D.3.6.3,expenditure_by_type.csv,Ontario,Ont.
Public-sector health expenditure by use of funds in millions of current dollars; Yukon; 1975 to 2018,D.3.11.1,expenditure_by_type.csv,Yukon,Y.T.
Percentage distribution of Public-sector health expenditure by use of funds; Yukon; 1975 to 2018,D.3.11.2,expenditure_by_type.csv,Yukon,Y.T.
Public-sector per capita health expenditure by use of funds in current dollars; Yukon; 1975 to 2018,D.3.11.3,expenditure_by_type.csv,Yukon,Y.T.
Public-sector health expenditure by use of funds in millions of current dollars; New Brunswick; 1975 to 2018,D.3.4.1,expenditure_by_type.csv,New Brunswick,N.B.
Percentage distribution of Public-sector health expenditure by use of funds; New Brunswick; 1975 to 2018,D.3.4.2,expenditure_by_type.csv,New Brunswick,N.B.
Public-sector per capita health expenditure by use of funds in current dollars; New Brunswick; 1975 to 2018,D.3.4.3,expenditure_by_type.csv,New Brunswick,N.B.
Public-sector health expenditure by use of funds in millions of current dollars; Northwest Territories; 1975 to 2018,D.3.12.1,expenditure_by_type.csv,Northwest Territories,N.W.T.
Percentage distribution of Public-sector health expenditure by use of funds; Northwest Territories; 1975 to 2018,D.3.12.2,expenditure_by_type.csv,Northwest Territories,N.W.T.
Public-sector per capita health expenditure by use of funds in current dollars; Northwest Territories; 1975 to 2018,D.3.12.3,expenditure_by_type.csv,Northwest Territories,N.W.T.
Public-sector health expenditure by use of funds in millions of current dollars; Nunavut; 1975 to 2018,D.3.13.1,expenditure_by_type.csv,Nunavut,Nun.
Percentage distribution of Public-sector health expenditure by use of funds; Nunavut; 1975 to 2018,D.3.13.2,expenditure_by_type.csv,Nunavut,Nun.
Public-sector per capita health expenditure by use of funds in current dollars; Nunavut; 1975 to 2018,D.3.13.3,expenditure_by_type.csv,Nunavut,Nun.
Public-sector health expenditure by use of funds in millions of current dollars; Manitoba; 1975 to 2018,D.3.7.1,expenditure_by_type.csv,Manitoba,Man.
Percentage distribution of Public-sector health expenditure by use of funds; Manitoba; 1975 to 2018,D.3.7.2,expenditure_by_type.csv,Manitoba,Man.
Public-sector per capita health expenditure by use of funds in current dollars; Manitoba; 1975 to 2018,D.3.7.3,expenditure_by_type.csv,Manitoba,Man.
Public-sector health expenditure by use of funds in millions of current dollars; British Columbia; 1975 to 2018,D.3.10.1,expenditure_by_type.csv,British Columbia,B.C.
Percentage distribution of Public-sector health expenditure by use of funds; British Columbia; 1975 to 2018,D.3.10.2,expenditure_by_type.csv,British Columbia,B.C.
Public-sector per capita health expenditure by use of funds in current dollars; British Columbia; 1975 to 2018,D.3.10.3,expenditure_by_type.csv,British Columbia,B.C.
Total health expenditure by use of funds in millions of current dollars; Ontario; 1975 to 2018,D.1.6.1,expenditure_by_type.csv,Ontario,Ont.
Percentage distribution of total health expenditure by use of funds; Ontario; 1975 to 2018,D.1.6.2,expenditure_by_type.csv,Ontario,Ont.
Per capita total health expenditure by use of funds in current dollars; Ontario; 1975 to 2018,D.1.6.3,expenditure_by_type.csv,Ontario,Ont.
Total health expenditure by use of funds in millions of current dollars; Northwest Territories; 1975 to 2018,D.1.12.1,expenditure_by_type.csv,Northwest Territories,N.W.T.
Percentage distribution of total health expenditure by use of funds; Northwest Territories; 1975 to 2018,D.1.12.2,expenditure_by_type.csv,Northwest Territories,N.W.T.
Per capita total health expenditure by use of funds in current dollars; Northwest Territories; 1975 to 2018,D.1.12.3,expenditure_by_type.csv,Northwest Territories,N.W.T.
Total health expenditure by use of funds in millions of current dollars; Yukon; 1975 to 2018,D.1.11.1,expenditure_by_type.csv,Yukon,Y.T.
Percentage distribution of total health expenditure by use of funds; Yukon; 1975 to 2018,D.1.11.2,expenditure_by_type.csv,Yukon,Y.T.
Per capita total health expenditure by use of funds in current dollars; Yukon; 1975 to 2018,D.1.11.3,expenditure_by_type.csv,Yukon,Y.T.
Total health expenditure by use of funds in millions of current dollars; Saskatchewan; 1975 to 2018,D.1.8.1,expenditure_by_type.csv,Saskatchewan,Sask.
Percentage distribution of total health expenditure by use of funds; Saskatchewan; 1975 to 2018,D.1.8.2,expenditure_by_type.csv,Saskatchewan,Sask.
Per capita total health expenditure by use of funds in current dollars; Saskatchewan; 1975 to 2018,D.1.8.3,expenditure_by_type.csv,Saskatchewan,Sask.
Total health expenditure by use of funds in millions of current dollars; Alberta; 1975 to 2018,D.1.9.1,expenditure_by_type.csv,Alberta,Alta.
Percentage distribution of total health expenditure by use of funds; Alberta; 1975 to 2018,D.1.9.2,expenditure_by_type.csv,Alberta,Alta.
Per capita total health expenditure by use of funds in current dollars; Alberta; 1975 to 2018,D.1.9.3,expenditure_by_type.csv,Alberta,Alta.
Total health expenditure by use of funds in millions of current dollars; New Brunswick; 1975 to 2018,D.1.4.1,expenditure_by_type.csv,New Brunswick,N.B.
Percentage distribution of total health expenditure by use of funds; New Brunswick; 1975 to 2018,D.1.4.2,expenditure_by_type.csv,New Brunswick,N.B.
Per capita total health expenditure by use of funds in current dollars; New Brunswick; 1975 to 2018,D.1.4.3,expenditure_by_type.csv,New Brunswick,N.B.
Total health expenditure by use of funds in millions of current dollars; British Columbia; 1975 to 2018,D.1.10.1,expenditure_by_type.csv,British Columbia,B.C.
Percentage distribution of total health expenditure by use of funds; British Columbia; 1975 to 2018,D.1.10.2,expenditure_by_type.csv,British Columbia,B.C.
Per capita total health expenditure by use of funds in current dollars; British Columbia; 1975 to 2018,D.1.10.3,expenditure_by_type.csv,British Columbia,B.C.
Total health expenditure by use of funds in millions of current dollars; Manitoba; 1975 to 2018,D.1.7.1,expenditure_by_type.csv,Manitoba,Man.
Percentage distribution of total health expenditure by use of funds; Manitoba; 1975 to 2018,D.1.7.2,expenditure_by_type.csv,Manitoba,Man.
Per capita total health expenditure by use of funds in current dollars; Manitoba; 1975 to 2018,D.1.7.3,expenditure_by_type.csv,Manitoba,Man.
Total health expenditure by use of funds in millions of current dollars; Nunavut; 1975 to 2018,D.1.13.1,expenditure_by_type.csv,Nunavut,Nun.
Percentage distribution of total health expenditure by use of funds; Nunavut; 1975 to 2018,D.1.13.2,expenditure_by_type.csv,Nunavut,Nun.
Per capita total health expenditure by use of funds in current dollars; Nunavut; 1975 to 2018,D.1.13.3,expenditure_by_type.csv,Nunavut,Nun.
Total health expenditure by use of funds in millions of current dollars; Newfoundland and Labrador; 1975 to 2018,D.1.1.1,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Percentage distribution of total health expenditure by use of funds; Newfoundland and Labrador; 1975 to 2018,D.1.1.2,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Per capita total health expenditure by use of funds in current dollars; Newfoundland and Labrador; 1975 to 2018,D.1.1.3,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Total health expenditure by use of funds in millions of current dollars; Quebec; 1975 to 2018,D.1.5.1,expenditure_by_type.csv,Quebec,Que.
Percentage distribution of total health expenditure by use of funds; Quebec; 1975 to 2018,D.1.5.2,expenditure_by_type.csv,Quebec,Que.
Per capita total health expenditure by use of funds in current dollars; Quebec; 1975 to 2018,D.1.5.3,expenditure_by_type.csv,Quebec,Que.
Total health expenditure by use of funds in millions of current dollars; Nova Scotia; 1975 to 2018,D.1.3.1,expenditure_by_type.csv,Nova Scotia,N.S.
Percentage distribution of total health expenditure by use of funds; Nova Scotia; 1975 to 2018,D.1.3.2,expenditure_by_type.csv,Nova Scotia,N.S.
Per capita total health expenditure by use of funds in current dollars; Nova Scotia; 1975 to 2018,D.1.3.3,expenditure_by_type.csv,Nova Scotia,N.S.
Total health expenditure by use of funds in millions of current dollars; Prince Edward Island; 1975 to 2018,D.1.2.1,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Percentage distribution of total health expenditure by use of funds; Prince Edward Island; 1975 to 2018,D.1.2.2,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Per capita total health expenditure by use of funds in current dollars; Prince Edward Island; 1975 to 2018,D.1.2.3,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1998,E.5.3.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1998,E.5.3.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1999,E.5.4.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1999,E.5.4.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2011,E.5.16.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2011,E.5.16.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2005,E.5.10.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2005,E.5.10.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2004,E.5.9.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2004,E.5.9.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2010,E.5.15.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2010,E.5.15.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2006,E.5.11.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2006,E.5.11.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2012,E.5.17.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2012,E.5.17.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2013,E.5.18.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2013,E.5.18.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2007,E.5.12.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2007,E.5.12.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2003,E.5.8.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2003,E.5.8.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2016,E.5.21.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2016,E.5.21.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2002,E.5.7.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2002,E.5.7.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2014,E.5.19.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2014,E.5.19.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2000,E.5.5.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2000,E.5.5.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2001,E.5.6.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2001,E.5.6.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2015,E.5.20.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2015,E.5.20.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2009,E.5.14.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2009,E.5.14.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2008,E.5.13.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2008,E.5.13.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1997,E.5.2.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1997,E.5.2.2,provincial_level.csv,,
Provincial/territorial government other professionals expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1996,E.5.1.1,provincial_level.csv,,
Provincial/territorial government other professionals expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1996,E.5.1.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2010,E.4.15.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2010,E.4.15.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2004,E.4.9.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2004,E.4.9.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2005,E.4.10.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2005,E.4.10.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2011,E.4.16.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2011,E.4.16.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2007,E.4.12.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2007,E.4.12.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2013,E.4.18.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2013,E.4.18.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2012,E.4.17.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2012,E.4.17.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2006,E.4.11.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2006,E.4.11.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2002,E.4.7.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2002,E.4.7.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2016,E.4.21.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2016,E.4.21.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2003,E.4.8.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2003,E.4.8.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2015,E.4.20.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2015,E.4.20.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2001,E.4.6.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2001,E.4.6.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2000,E.4.5.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2000,E.4.5.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2014,E.4.19.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2014,E.4.19.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1999,E.4.4.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1999,E.4.4.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1998,E.4.3.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1998,E.4.3.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1996,E.4.1.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1996,E.4.1.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1997,E.4.2.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1997,E.4.2.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2008,E.4.13.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2008,E.4.13.2,provincial_level.csv,,
Provincial/territorial government physicians expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2009,E.4.14.1,provincial_level.csv,,
Provincial/territorial government physicians expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2009,E.4.14.2,provincial_level.csv,,
Private-sector total health expenditure by use of funds in millions of dollars; Canada; 1988 to 2016,H.1,private_expenditure.csv,,
Private-sector household (out-of-pocket) health expenditure by source of finance and use of funds in millions of dollars; Canada; 1988 to 2016,H.2,private_expenditure.csv,,
Private-sector insurance health expenditure by source of finance and use of funds in millions of dollars; Canada; 1988 to 2016,H.3,private_expenditure.csv,,
Private-sector non-consumption health expenditure by source of finance and use of funds in millions of dollars; Canada; 1988 to 2016,H.4,private_expenditure.csv,,
